C1= C2= C3= C4= 
[1205, 441][1248, 401][1321, 562][1372, 513]
[1423.77, 576.708][1468.59, 536.736][1543.62, 701.486][1596.49, 650.449]
[1428.01, 577.375][1472.12, 538.227][1547.9, 702.268][1600.82, 651.315]
[1431.5, 577.169][1475.63, 537.831][1550.32, 701.041][1603.82, 650.147]
[1433.35, 575.827][1478.62, 536.339][1552.45, 699.458][1604.75, 647.774]
[1433.86, 572.444][1478.37, 533.666][1552.63, 696.717][1604, 644.141]
[1433.43, 569.249][1477.64, 530.19][1550.83, 692.639][1602.59, 639.648]
[1432.34, 564.903][1477.15, 526.175][1548.41, 687.608][1599.64, 635.126]
[1430.14, 560.19][1473.5, 521.164][1543.82, 680.709][1596.02, 628.348]
[1427.14, 554.14][1471.31, 515.432][1540.62, 674.076][1590.82, 619.874]
[1422.93, 547.047][1466.09, 509.133][1535.74, 666.546][1585.49, 611.476]
[1418.98, 540.89][1461.36, 503.037][1531.83, 659.51][1580.15, 603.772]
[1415.2, 534.354][1456.45, 496.815][1528.66, 652.862][1574.78, 596.622]
[1411.64, 528.686][1452.85, 491.387][1525.03, 646.568][1569.46, 590.223]
[1407.68, 523.145][1449.98, 486.301][1520.77, 641.107][1564.72, 584.416]
[1404.54, 519.101][1447.42, 481.775][1517.12, 635.762][1560.46, 579.916]
[1401.49, 515.407][1444.29, 477.702][1514.25, 631.626][1557.14, 576.171]
[1400.19, 516.414][1440.72, 473.993][1510.34, 626.787][1555.66, 573.022]
[1396.94, 511.147][1439.03, 469.49][1506.19, 621.437][1551.77, 568.158]
[1393.3, 505.706][1436.61, 464.925][1500.77, 615.137][1549.04, 566.093]
[1389.91, 500.415][1432.53, 460.322][1497.4, 609.764][1545.56, 563.449]
[1386.47, 495.274][1430.75, 456.271][1494.83, 605.702][1541.81, 558.17]
[1382.99, 490.818][1426.65, 452.659][1491.24, 602.114][1538.4, 553.616]
[1380.87, 487.704][1424.86, 449.922][1488.48, 599.42][1535.8, 549.608]
[1378.18, 483.215][1423.26, 446.818][1485.06, 595.833][1532.77, 545.539]
[1375.57, 479.25][1419.57, 442.822][1482.17, 591.48][1529.36, 540.258]
[1372.49, 474.342][1415.64, 437.608][1479.16, 586.011][1525.69, 534.339]
[1367.94, 466.782][1410.45, 429.801][1474.42, 577.479][1520.71, 527.383]
[1363.95, 457.507][1406.78, 420.053][1470.3, 567.198][1516.96, 517.769]
[1362.38, 454.358][1405.13, 416.978][1468.37, 563.632][1514.93, 514.366]
[1353.53, 432.791][1395.31, 394.92][1460.62, 541.362][1507.26, 491.961]
[1342.09, 408.874][1386.3, 370.372][1444.04, 513.579][1497.2, 467.483]
[1339.38, 403.137][1383.62, 364.626][1440.74, 507.172][1494.25, 461.435]
[1319.36, 372.218][1363.53, 329.329][1421.27, 475.125][1476.23, 426.717]
[1315.56, 364.912][1359.75, 321.728][1416.96, 467.128][1472.34, 418.875]
[1311.79, 357.665][1356, 314.189][1412.68, 459.196][1468.48, 411.097]
[1308.01, 350.384][1352.24, 306.615][1408.39, 451.227][1464.61, 403.282]
[1304.17, 343.021][1348.43, 298.955][1404.04, 443.167][1460.69, 395.379]
