C1= C2= C3= C4= 
[1667, 307][1728, 259][1791, 418][1876, 374]
[1448.3, 232.27][1493.37, 190.252][1546.39, 319.283][1601.49, 275.209]
[1442.92, 204.663][1488.93, 160.875][1545.33, 292.896][1602.58, 249.613]
[1436.08, 176.044][1483.09, 130.329][1539.74, 266.039][1599.21, 219.959]
[1429.8, 148.22][1480.43, 100.457][1537.51, 240.115][1595.55, 191.904]
[1422.81, 119.347][1475.94, 71.7461][1531.86, 215.827][1593.66, 164.859]
[1417.58, 94.8753][1470.02, 45.1278][1529.89, 192.268][1591.14, 137.776]
[1410.36, 69.6307][1466.52, 21.4183][1529.09, 170.514][1592.19, 114.813]
[1407.29, 41.5383][1470, 4.27057][1526.29, 150.491][1594.23, 93.9187]
[1403.93, 19.6672][1481.99, -8.55398][1527.08, 130.785][1594.44, 71.007]
[1402.16, 3.8561][1500.29, -17.4228][1527.53, 111.939][1594.97, 48.8992]
[1406.44, -9.41878][1507.3, 2.15673][1527.4, 95.0748][1596.29, 29.0129]
[1413.91, -19.5746][1510.75, 13.0474][1530.5, 80.9301][1597.06, 9.62204]
[1420.85, -25.3457][1515.32, 20.8699][1531.33, 67.9306][1599.76, -3.15937]
[1425.71, -28.8812][1540.69, 8.40925][1551.35, 38.9062][1610.81, 42.5338]
[1430.1, -30.898][1559.31, -0.770178][1577.5, 73.2546][1625.4, 79.3843]
[1433.8, -31.3252][1568.14, -7.06836][1591.7, 98.5252][1636.53, 108.232]
[1437.24, -30.8551][1571.18, -11.331][1601.54, 118.602][1644.66, 131.073]
[1440.18, -29.9791][1571.89, -14.2318][1610.68, 135.016][1649.96, 148.004]
[1440.59, -40.2842][1576.3, -22.4778][1615.32, 129.97][1653.06, 146.835]
[1441.01, -50.5436][1580.69, -30.6872][1619.93, 124.946][1656.15, 145.672]
[1441.44, -60.9846][1585.15, -39.042][1624.63, 119.833][1659.29, 144.488]
[1441.89, -72.1608][1589.93, -47.9851][1629.66, 114.361][1662.66, 143.22]
[1442.31, -82.4198][1594.32, -56.1943][1634.28, 109.337][1665.75, 142.057]
[1442.73, -92.5973][1598.68, -64.3381][1638.86, 104.353][1668.81, 140.903]
[1443.14, -102.752][1603.02, -72.4639][1643.43, 99.3806][1671.87, 139.751]
[1443.56, -113.055][1607.43, -80.7083][1648.07, 94.3354][1674.97, 138.583]
[1443.99, -123.516][1611.9, -89.0793][1652.78, 89.2127][1678.12, 137.397]
[1444.4, -133.623][1616.23, -97.1668][1657.33, 84.2634][1681.16, 136.251]
[1444.81, -143.787][1620.58, -105.3][1661.9, 79.2863][1684.22, 135.098]
[1445.24, -154.311][1625.08, -113.721][1666.64, 74.133][1687.39, 133.905]
[1445.66, -164.675][1629.51, -122.014][1671.31, 69.0581][1690.51, 132.73]
[1446.1, -175.34][1634.07, -130.548][1676.11, 63.8357][1693.72, 131.52]
[1446.54, -186.303][1638.76, -139.32][1681.04, 58.4672][1697.02, 130.277]
[1446.97, -196.698][1643.21, -147.638][1685.72, 53.3768][1700.15, 129.098]
[1447.38, -206.86][1647.56, -155.77][1690.29, 48.4009][1703.21, 127.946]
[1447.8, -216.994][1651.89, -163.879][1694.85, 43.4384][1706.26, 126.797]
[1448.21, -227.235][1656.27, -172.074][1699.46, 38.4235][1709.34, 125.636]
[1448.64, -237.626][1660.72, -180.388][1704.14, 33.3352][1712.47, 124.457]
[1449.06, -248.106][1665.2, -188.774][1708.86, 28.2033][1715.62, 123.269]
[1449.48, -258.254][1669.54, -196.895][1713.43, 23.2339][1718.68, 122.118]
[1449.89, -268.473][1673.91, -205.072][1718.03, 18.23][1721.75, 120.96]
[1404.93, -22.2083][1471.88, 26.2586][1483.7, 58.1197][1521.61, 12.3185]
[1403.55, -22.3774][1468.12, 27.4836][1478.87, 54.834][1516.66, 6.87908]
[1402.17, -22.5472][1464.33, 28.7142][1474.03, 51.5329][1511.68, 1.41445]
[1400.79, -22.7158][1460.58, 29.9358][1469.22, 48.2563][1506.75, -4.0098]
[1399.41, -22.885][1456.81, 31.1616][1464.39, 44.9683][1501.79, -9.45285]
[1398.03, -23.0541][1453.05, 32.3866][1459.56, 41.6822][1496.84, -14.8927]
[1396.66, -23.2222][1449.3, 33.6051][1454.76, 38.4138][1491.92, -20.3033]
[1395.28, -23.3917][1445.53, 34.8331][1449.93, 35.12][1486.95, -25.7561]
[1393.9, -23.5601][1441.78, 36.0527][1445.12, 31.8485][1482.03, -31.1717]
[1392.54, -23.7273][1438.05, 37.2644][1440.35, 28.5982][1477.13, -36.5523]
[1391.15, -23.8978][1434.26, 38.4995][1435.49, 25.2853][1472.14, -42.0366]
[1389.77, -24.0672][1430.48, 39.7275][1430.65, 21.9913][1467.17, -47.4897]
[1388.39, -24.2365][1426.71, 40.9537][1425.82, 18.7021][1462.22, -52.9347]
[1387.04, -24.4019][1423.03, 42.1524][1421.1, 15.4868][1457.37, -58.2573]
[1385.65, -24.5716][1419.25, 43.3819][1416.26, 12.1887][1452.41, -63.7171]
[1384.28, -24.7396][1415.51, 44.5987][1411.46, 8.92493][1447.49, -69.1201]
[1382.91, -24.908][1411.76, 45.8195][1406.65, 5.65037][1442.55, -74.5409]
[1433.08, -2.97019][1627.51, 182.764][1556.26, 149.265][1708.59, 1.10898]
[1436, 0.447763][1558.07, 93.5648][1563.65, 158.774][1689.34, 98.0116]
[1436.96, 1.36123][1560.22, 96.0314][1565.8, 162.169][1694.89, 100.852]
[1437.93, 2.29132][1562.4, 98.543][1567.99, 165.626][1700.54, 103.744]
[1438.88, 3.19822][1564.54, 100.992][1570.13, 168.997][1706.05, 106.565]
[1439.84, 4.11027][1566.68, 103.455][1572.27, 172.386][1711.59, 109.401]
[1440.81, 5.03817][1568.86, 105.96][1574.46, 175.835][1717.22, 112.286]
[1441.79, 5.96962][1571.05, 108.475][1576.65, 179.297][1722.88, 115.183]
[1507.44, 93.6532][1561.99, 94.6894][1555.47, 156.175][1673.41, 172.115]
[1531.84, 114.678][1595.78, 131.739][1592.2, 177.127][1667.73, 179.066]
[1539.35, 128.785][1588.7, 120.058][1576.93, 146.851][1662.71, 192.002]
[1545.58, 136.416][1591.47, 122.715][1578.67, 147.534][1663.88, 198.638]
[1551.95, 144.199][1594.3, 125.424][1580.45, 148.231][1665.07, 205.406]
[1558.33, 152.009][1597.14, 128.143][1582.23, 148.931][1666.27, 212.198]
