C1= C2= C3= C4= 
[1585, 291][1644, 233][1764, 452][1853, 387]
[1584.51, 290.564][1643.83, 232.626][1763.7, 451.502][1852.95, 386.439]
[1584.56, 288.63][1644.19, 230.572][1764.08, 449.342][1853.89, 383.821]
[1586.51, 283.565][1646.86, 225.514][1767.86, 445.892][1857.1, 378.701]
[1589.33, 275.383][1650.61, 217.149][1772.22, 439.031][1862.37, 369.894]
[1592.42, 264.248][1653.72, 206.056][1778.48, 430.642][1868.42, 358.387]
[1593.84, 250.922][1658.48, 194.196][1783.03, 420.551][1873.02, 346.622]
[1594.17, 241.833][1661.6, 184.6][1782.91, 409.37][1876.42, 337.377]
[1588.5, 233.591][1657.14, 176.447][1776.31, 401.427][1872.18, 329.261]
[1575.48, 231.759][1643.78, 174.16][1760.69, 397.987][1855.55, 327.004]
[1555.18, 242.497][1622.92, 184.799][1740.43, 409.578][1830.41, 339.021]
[1533.92, 266.313][1600.62, 208.534][1714.75, 431.021][1801.35, 362.757]
[1509.36, 293.282][1572.66, 236.003][1682.44, 450.444][1764.38, 385.704]
[1484.21, 298.702][1545.11, 244.949][1648.97, 449.098][1725.58, 386.541]
[1464.45, 276.623][1525.2, 228.199][1622.77, 420.357][1692.7, 358.04]
[1444.84, 231.12][1510.4, 185.064][1595.73, 369.507][1664.6, 311.362]
[1396.3, 177.189][1460.96, 130.928][1538.8, 311.148][1613, 254.508]
[1340.76, 118.687][1423.67, 86.7445][1478.79, 251.284][1555.47, 195.214]
[1320.87, 73.8493][1388.96, 56.2829][1453.31, 167.59][1508.98, 168.141]
[1302.25, 56.883][1370.57, 42.8099][1431.06, 144.581][1483.97, 151.745]
[1330.74, 64.2383][1396.86, 67.7555][1417.91, 79.6744][1486.69, 97.6097]
[1317.72, 50.6607][1383.84, 58.7352][1398, 54.3555][1465.93, 78.8414]
[1304.46, 36.8378][1370.58, 49.552][1377.73, 28.5792][1444.8, 59.734]
[1355.84, 44.7963][1402.43, 85.8684][1480.78, 37.1528][1531.13, 21.0452]
[1437.85, 20.4176][1522.74, 57.5623][1563.05, 51.8391][1626.42, 0.728207]
[1438.51, 7.63428][1525.18, 50.5564][1562.28, 32.8022][1624.7, -19.8544]
[1439.09, -3.51707][1527.31, 44.4449][1561.6, 16.1956][1623.21, -37.8094]
[1439.64, -14.1591][1529.33, 38.6126][1560.95, 0.347531][1621.78, -54.9442]
[1577.68, -9.24405][1660.09, 49.7986][1726.31, 63.9511][1776.28, 46.1718]
[1588.21, -19.0824][1671.51, 45.0223][1737.67, 53.3798][1786.12, 37.087]
[1599.59, -29.7088][1683.85, 39.8634][1749.95, 41.9616][1796.74, 27.2744]
[1609.79, -39.2421][1694.92, 35.2352][1760.96, 31.718][1806.27, 18.4713]
[1619.86, -48.6474][1705.84, 30.6691][1771.82, 21.6121][1815.67, 9.78637]
[1630.95, -59.0037][1717.86, 25.6414][1783.79, 10.4842][1826.02, 0.223252]
[1642.67, -69.9517][1730.57, 20.3263][1796.44, -1.27961][1836.96, -9.88633]
[1653.84, -80.3826][1742.68, 15.2624][1808.49, -12.4876][1847.39, -19.5182]
[1665.16, -90.9558][1754.95, 10.1293][1820.7, -23.8486][1857.96, -29.2817]
[1677.14, -102.149][1767.95, 4.69506][1833.63, -35.8761][1869.15, -39.6179]
[1688.14, -112.419][1779.87, -0.290754][1845.49, -46.9111][1879.41, -49.1012]
[1699.41, -122.945][1792.09, -5.40079][1857.65, -58.2211][1889.93, -58.8208]
[1711.09, -133.856][1804.75, -10.698][1870.26, -69.9454][1900.84, -68.8965]
[1722.39, -144.411][1817.01, -15.822][1882.45, -81.2863][1911.39, -78.6427]
[1733.43, -154.727][1828.98, -20.8305][1894.37, -92.3715][1921.7, -88.1691]
[1573.35, 352.442][1653.81, 311.824][1802.27, 549.04][1893.34, 483.822]
[1562.59, 415.53][1635.71, 353.066][1799.57, 620.368][1895.17, 547.955]
[1562.81, 440.342][1632.56, 372.341][1802.1, 651.339][1901.74, 576.488]
[1564.13, 459.77][1633.37, 386.727][1807.82, 677.059][1909.51, 599.808]
[1565.43, 478.789][1634.15, 400.809][1813.41, 702.236][1917.12, 622.636]
[1566.72, 497.717][1634.94, 414.823][1818.97, 727.293][1924.7, 645.355]
[1568.06, 517.377][1635.75, 429.379][1824.75, 753.319][1932.57, 668.953]
[1569.49, 538.428][1636.62, 444.966][1830.94, 781.188][1940.99, 694.222]
[1570.81, 557.737][1637.42, 459.263][1836.62, 806.749][1948.72, 717.398]
[1572.37, 580.686][1638.37, 476.254][1843.37, 837.128][1957.9, 744.943]
[1573.7, 600.162][1639.18, 490.675][1849.09, 862.911][1965.7, 768.32]
[1574.99, 619.086][1639.96, 504.687][1854.66, 887.964][1973.27, 791.036]
[1579.95, 449.487][1638.7, 371.248][1794.89, 646.409][1908.3, 583.001]
[1559.12, 423.323][1614.22, 350.331][1758.21, 604.056][1862.58, 544.172]
[1537.22, 406.677][1593.19, 337.935][1722.03, 575.07][1822.97, 518.641]
[1506.25, 403.188][1560.86, 338.388][1675.36, 564.736][1771, 508.755]
[1481.49, 413.384][1534.05, 353.551][1636.97, 567.031][1727.13, 513.501]
[1457.16, 432.579][1506.02, 376.31][1604.7, 582.246][1688.13, 529.602]
[1438.01, 459.167][1484.38, 406.548][1578.3, 603.36][1653.23, 548.319]
[1422.62, 487.121][1470.98, 439.046][1556.48, 626.999][1628.86, 577.007]
[1408.21, 516.548][1453.44, 469.907][1535.2, 651.055][1605.49, 604.436]
[1393.34, 542.489][1437, 496.829][1512.91, 670.926][1583.12, 627.033]
[1379.62, 561.332][1422.24, 517.233][1494.16, 685.529][1562.99, 643.865]
[1370.2, 576.623][1411.79, 533.977][1479.94, 696.834][1548.99, 657.409]
[1365.87, 591.272][1406.72, 548.807][1473.97, 708.887][1541.16, 670.517]
[1365.91, 604.151][1406.54, 562.388][1470.85, 719.293][1538.76, 683.774]
[1369.22, 613.024][1407.73, 571.425][1472.51, 726.585][1541.11, 692.518]
[1373.57, 616.727][1412.31, 575.49][1472.1, 726.067][1543.37, 697.723]
[1379.69, 617.286][1417.21, 575.985][1479.87, 726.834][1549.42, 698.344]
[1388.22, 615.603][1424.88, 573.924][1490.2, 724.894][1561.1, 697.945]
[1401.31, 615.577][1437.8, 570.633][1508.06, 722.373][1575.5, 697.07]
[1417.99, 606.822][1454, 562.864][1526.72, 716.779][1596.73, 691.147]
[1436.62, 596.594][1473.19, 554.258][1549.89, 710.814][1620.12, 684.277]
[1456.24, 586.853][1492.29, 545.527][1573.28, 704.626][1645.15, 677.474]
[1475.82, 579.607][1512.21, 535.978][1597.21, 698.552][1669.82, 670.702]
[1493.45, 572.002][1530.76, 527.786][1616.14, 692.807][1691.42, 663.449]
[1508.69, 565.12][1547.35, 519.562][1633.29, 687.69][1710.01, 656.822]
[1521.6, 559.811][1563.36, 512.627][1650.92, 683.447][1726.68, 652.3]
[1532.35, 555.339][1575.34, 506.606][1663.84, 679.521][1740.03, 645.755]
[1541.91, 550.659][1585.55, 501.935][1676.55, 676.763][1751.58, 640.655]
[1550.01, 548.234][1593.25, 498.344][1686.73, 675.529][1762.35, 637.608]
[1556.79, 547.585][1600.31, 496.229][1697.73, 675.787][1770.83, 635.892]
[1561.39, 546.232][1605.41, 495.267][1704.6, 677.189][1778.13, 635.807]
[1565.89, 543.899][1610.32, 494.436][1709.46, 678.298][1784.56, 635.088]
[1567.43, 544.062][1611.55, 493.998][1711.02, 678.241][1787.33, 634.664]
[1568.21, 542.416][1612.98, 492.509][1712.66, 678.497][1787.77, 632.265]
[1567.7, 539.126][1614.14, 491.449][1711.81, 678.388][1789.59, 633.783]
[1567.71, 537.988][1615.8, 490.541][1713.15, 678.919][1790.92, 634.021]
[1566.42, 539.481][1615.37, 490.689][1713.85, 679.304][1790.04, 632.514]
[1565.16, 540.656][1614.72, 490.856][1713.12, 679.585][1789.3, 633.496]
[1564.43, 541.231][1613.3, 490.333][1710.17, 679.21][1789.05, 634.233]
[1563.28, 541.756][1612.74, 490.055][1709.86, 678.306][1788.09, 635.457]
[1562.45, 540.938][1610.56, 489.209][1706.37, 677.598][1787.44, 635.191]
[1561.28, 541.896][1609.81, 489.304][1703.67, 677.071][1786.23, 635.623]
[1560.29, 541.15][1608.53, 489.404][1702.4, 677.27][1785.17, 635.659]
[1559.47, 543.261][1611.04, 491.877][1702.55, 678.913][1785.46, 637.177]
[1559.87, 542.527][1611.01, 493.806][1704.27, 681.653][1785.47, 639.23]
