C1= C2= C3= C4= 
[1621.91, 516.442][1668.47, 475.95][1730.96, 615.264][1796.33, 578.066]
[1622.61, 511.238][1671.27, 471.277][1732.18, 610.23][1797.33, 573.335]
[1622.76, 505.858][1670.82, 467.141][1733.3, 605.827][1798.29, 569.168]
[1623.21, 502.125][1672.74, 463.518][1733.1, 601.19][1798.53, 564.435]
[1623.59, 496.921][1673.72, 458.966][1734.38, 596.682][1798.47, 558.445]
[1625.8, 497.129][1672.14, 454.871][1735.87, 592.392][1797.26, 553.296]
[1623.46, 491.796][1671.36, 450.975][1734.38, 588.644][1795.65, 548.892]
[1621.51, 488.95][1668.66, 448.119][1733.36, 585.923][1794.01, 545.397]
[1620.47, 488.263][1667.59, 446.026][1732.47, 583.95][1793.78, 544.233]
[1618.45, 486.195][1664.99, 443.708][1730.56, 582.019][1791.56, 542.101]
[1615.14, 483.318][1662.62, 441.197][1727.89, 580.097][1788.94, 540.869]
[1611.4, 482.361][1660.16, 438.857][1724.34, 578.226][1784.34, 537.593]
[1606.79, 479.77][1655.99, 436.034][1720.72, 574.659][1779.36, 534.891]
[1601.52, 477.049][1649.39, 432.861][1716.48, 571.474][1774.09, 531.55]
[1595.72, 473.011][1643.94, 429.312][1708.4, 567.358][1767.73, 528.995]
[1589.3, 468.147][1637.22, 425.959][1698.51, 562.743][1760.61, 525.036]
[1581.86, 465.646][1629.55, 422.116][1688.95, 558.215][1752.92, 521.015]
[1572.28, 462.205][1619.52, 417.641][1675.8, 553.228][1741.49, 516.973]
[1559.86, 454.578][1606.46, 412.847][1662.57, 548.323][1727.36, 511.123]
[1544.69, 449.894][1591.64, 407.848][1645.67, 542.692][1710.04, 503.631]
[1527.08, 442.069][1574.31, 401.453][1625.11, 534.437][1689.7, 494.776]
[1507.53, 432.273][1555.25, 393.318][1604.7, 526.557][1669.74, 486.718]
[1486.02, 422.121][1533.56, 383.882][1582.84, 518.178][1648.5, 477.091]
[1463.04, 415.336][1511.28, 376.801][1559.37, 511.654][1624.95, 469.891]
[1439.42, 408.595][1487.36, 370.377][1536.51, 506.229][1601.45, 465.064]
[1417.25, 405.35][1466.06, 367.362][1513.3, 503.998][1578.86, 462.754]
[1395.53, 404.173][1443.07, 366.352][1491.64, 504.156][1556.57, 463.415]
[1373.69, 404.889][1420.53, 367.184][1469.06, 504.504][1533.21, 463.882]
[1351.87, 405.124][1398.72, 367.22][1447.24, 504.72][1510.8, 463.919]
[1331.17, 403.846][1378.59, 365.776][1426.31, 502.583][1489.4, 462.482]
[1310.18, 399.42][1359.7, 362.044][1404.05, 498.316][1467.89, 459.038]
[1287.85, 396.151][1336.49, 357.639][1380.48, 492.942][1444.91, 454.861]
[1263.62, 389.674][1311.3, 350.549][1356.44, 485.942][1419.66, 447.951]
[1238.85, 377.879][1286.35, 339.109][1331.86, 473.744][1393.86, 436.097]
[1215.37, 363.361][1262.72, 324.306][1309.66, 460.03][1371, 421.253]
[1194.83, 347.123][1241.79, 307.566][1289.3, 443.584][1350.97, 405.319]
[1176.52, 329.893][1224.29, 290.223][1272.26, 427.032][1333.91, 390.279]
[1161.98, 314.262][1209.82, 274.503][1258.45, 412.483][1320.66, 374.663]
[1149.27, 299.422][1194.94, 259.316][1246.33, 397.923][1308.97, 359.828]
[1141.88, 289.822][1183.65, 245.831][1234.93, 384.081][1299.32, 346.048]
[1131.1, 276.948][1173.76, 233.573][1221.08, 370.429][1290.69, 334.665]
[1121.38, 265.763][1165.01, 222.324][1211.49, 359.21][1282.36, 322.973]
[1110.93, 254.183][1154.77, 211.253][1201.44, 348.723][1273.85, 310.996]
[1100.52, 244.756][1144.82, 201.404][1191.1, 339.884][1264.66, 301.272]
[1089.47, 234.682][1134.71, 191.852][1182.1, 331.944][1254.54, 292.09]
[1077.59, 225.291][1124.38, 182.592][1173.48, 324.761][1243.93, 283.949]
[1066.2, 218.122][1114.2, 174.415][1165.19, 318.464][1233.51, 276.635]
[1055.02, 211.736][1103.12, 167.248][1153.62, 313.027][1223.36, 270.413]
[1044.76, 207.004][1095.45, 162.491][1145, 309.564][1213.86, 265.246]
[1035.27, 202.652][1085.7, 158.689][1136.76, 307.013][1205.77, 263.351]
[1027.52, 200.01][1077.74, 155.644][1131.36, 304.903][1198.8, 260.091]
[1020.4, 196.634][1071.85, 153.081][1124.93, 302.757][1192.55, 257.626]
[1014.67, 195.401][1066.49, 151.092][1118.3, 301.878][1186.89, 255.412]
[1009.11, 193.659][1063.43, 149.886][1114.25, 301.78][1181.64, 255.692]
[1004.3, 193.499][1057.47, 149.868][1108.92, 302.027][1175.65, 252.352]
[998.954, 194.279][1053.44, 151.321][1103.97, 304.202][1171.59, 255.398]
[994.304, 198.273][1050.07, 154.448][1098.78, 306.459][1166.52, 260.305]
[989.05, 200.819][1043.28, 157.16][1092.8, 309.297][1161.76, 263.27]
[984.801, 205.202][1040.88, 161.118][1089.38, 313.61][1157.6, 266.858]
[981.543, 208.574][1036.25, 165][1085.62, 317.177][1154.38, 271.547]
[978.9, 211.636][1032.8, 167.628][1083.69, 320.926][1152.03, 274.787]
[976.8, 214.463][1030.06, 169.287][1081.58, 323.426][1149.58, 276.626]
[975.024, 218.451][1025.56, 169.596][1080.05, 324.361][1146.97, 277.059]
[971.879, 216.666][1023.35, 169.424][1077.92, 325.475][1144.27, 276.687]
[969.695, 214.789][1020.78, 169.37][1077.07, 325.565][1142.42, 276.189]
[968.448, 214.849][1018.4, 168.906][1076.56, 325.455][1141.98, 276.481]
[966.788, 213.064][1016.42, 167.558][1075.16, 323.233][1140.92, 275.426]
[963.595, 210.66][1016.04, 164.943][1069.93, 319.082][1137.91, 273.303]
[958.104, 205.282][1010.51, 159.685][1063.67, 313.448][1132.26, 267.857]
[952.92, 199.494][1005.84, 153.437][1060.12, 308.849][1128.06, 261.732]
