C1= C2= C3= C4= 
[797, 611]   [861, 670]   [949, 455]   [1006, 521]
         [800.05, 614.05]   [861.764, 671.526]   [953.575, 456.525]   [1009.05, 521.763]
         [801.365, 615.364]   [863.65, 673.518]   [954.212, 458.517]   [1008.59, 525.874]
         [803.211, 617.21]   [865.076, 675.641]   [956.435, 460.64]   [1009.7, 528.21]
         [805.324, 618.784]   [866.415, 677.37]   [958.759, 462.368]   [1010.87, 530.867]
         [807.672, 620.777]   [870.892, 678.985]   [961.245, 464.463]   [1014.51, 528.777]
         [810.714, 622.443]   [873.681, 680.603]   [963.268, 466.427]   [1017.6, 529.059]
         [813.919, 623.508]   [876.909, 681.414]   [964.392, 468.803]   [1020.4, 531.223]
         [816.697, 624.574]   [879.704, 682.063]   [967, 469.848]   [1023.07, 532.1]
         [819.188, 625.661]   [882.209, 683.022]   [969.999, 470.702]   [1025.26, 533.892]
         [821.664, 626.55]   [885.129, 683.808]   [972.469, 471.395]   [1028.57, 533.201]
         [823.934, 627.063]   [887.77, 684.015]   [974.296, 471.961]   [1031.76, 531.952]
         [826.049, 626.811]   [890.195, 684.181]   [976.265, 471.978]   [1034.2, 531.792]
         [827.758, 626.575]   [891.701, 683.844]   [977.631, 471.507]   [1035.26, 533.024]
         [829.202, 625.904]   [893.442, 683.087]   [977.143, 472.045]   [1036.62, 533.365]
         [830.518, 624.134]   [894.283, 681.96]   [975.686, 472.459]   [1036.67, 535.051]
         [831.311, 622.663]   [895.639, 680.544]   [976.363, 471.346]   [1037.14, 534.756]
         [832.194, 620.951]   [896.015, 678.878]   [977.646, 469.439]   [1037.03, 535.236]
         [832.568, 619.32]   [896.455, 677.526]   [979.372, 465.412]   [1037.82, 533.397]
         [833.313, 617.51]   [896.515, 675.696]   [980.257, 461.632]   [1038.91, 530.898]
         [833.613, 616.309]   [897.241, 674.476]   [981.425, 458.829]   [1037.78, 532.314]
         [834.8, 614.862]   [897.788, 673.507]   [983.821, 457.817]   [1039.29, 530.258]
         [835.713, 614.71]   [898.428, 673.245]   [985.97, 457.537]   [1040.97, 529.085]
         [836.405, 614.622]   [899.396, 672.568]   [987.911, 457.356]   [1042.29, 527.895]
         [837.424, 613.333]   [900.891, 672.042]   [988.948, 456.747]   [1043.32, 527.187]
         [839.435, 612.824]   [902.544, 671.154]   [990.71, 456.8]   [1044.61, 526.884]
