C1= C2= C3= C4= 
[1173, 356][1228, 313][1302, 487][1368, 435]
[1421.28, 598.863][1465.37, 560.458][1531.31, 713.697][1583.88, 663.213]
[1420.11, 597.36][1464.58, 558.973][1528.28, 707.597][1582.64, 662.057]
[1419.48, 595.679][1464.55, 557.858][1528.52, 706.636][1580.9, 659.562]
[1418.72, 593.898][1463.13, 555.933][1527.95, 705.499][1581.91, 658.904]
[1418.13, 593.375][1461.18, 554.445][1528.36, 704.08][1582.72, 658.701]
[1417.69, 594.208][1463.37, 555.079][1528.77, 703.193][1582.05, 656.751]
[1417.63, 594.036][1461.97, 555.595][1527.42, 703.974][1581.84, 656.699]
[1417.88, 597.909][1463.17, 557.733][1529.81, 706.096][1581.74, 658.164]
[1419.22, 600.389][1462.98, 560.558][1530.02, 710.11][1582.29, 661.098]
[1421.39, 607.697][1464.54, 565.589][1533.02, 714.966][1585.02, 666.526]
[1424.19, 616.458][1469.71, 573.439][1536.5, 722.453][1589.15, 675.866]
[1427.5, 626.074][1472.02, 581.787][1540.35, 732.245][1594.35, 686.527]
[1432, 635.677][1475.75, 591.559][1546.13, 744.599][1600.64, 698.405]
[1435.7, 642.11][1478.87, 598.986][1551.97, 754.61][1606.02, 707.471]
[1438.53, 649.818][1481.54, 605.212][1557.58, 762.279][1609.59, 714.12]
[1440.09, 655.054][1482.7, 609.313][1559.59, 767.218][1612.28, 718.267]
[1438.96, 654.947][1482.39, 611.164][1558.22, 769.431][1611.45, 720.151]
[1437.47, 655.015][1479.58, 610.788][1555.41, 769.893][1609.63, 720.08]
[1435.7, 653.247][1478.49, 610.936][1554.03, 770.403][1608.17, 720.182]
[1434.29, 653.698][1476.2, 609.777][1552.06, 769.797][1608.95, 721.238]
[1432.6, 651.394][1474.68, 609.331][1550.21, 769.769][1606.42, 720.246]
[1431.27, 649.776][1472.08, 608.873][1549.03, 769.624][1603.86, 717.381]
[1430.78, 650.947][1470.35, 608.403][1548.94, 769.38][1601.85, 715.892]
[1429.83, 649.262][1469.01, 607.982][1547.45, 768.563][1600.28, 714.119]
[1429.09, 648.687][1471.93, 608.662][1546.29, 767.795][1599.07, 713.487]
[1428.51, 650.468][1471.66, 607.463][1545.38, 767.162][1598.13, 712.123]
[1428.07, 648.384][1470.33, 606.455][1545.24, 766.307][1597.41, 711.005]
[1427.44, 646.703][1470.14, 605.611][1544.01, 765.292][1596.86, 711.224]
