C1= C2= C3= C4= 
[530, 466]   [575, 533]   [638, 371]   [685.999, 416]
         [527.313, 476.503]   [577.267, 534.162]   [640.824, 373.243]   [688.83, 415.499]
         [526.746, 482.37]   [579.323, 534.985]   [644.752, 375.296]   [689.414, 419.069]
         [527.172, 484.831]   [580.659, 535.366]   [644.216, 376.638]   [689.654, 420.495]
         [531.587, 480.266]   [581.795, 536.24]   [647.413, 377.458]   [691.401, 421.367]
         [530.868, 484.264]   [582.561, 536.521]   [647.106, 378.01]   [692.576, 421.035]
         [530.359, 486.48]   [582.494, 536.718]   [648.097, 377.794]   [693.1, 420.798]
         [529.988, 486.567]   [583.955, 535.346]   [648.508, 377.634]   [693.477, 420.019]
         [529.713, 486.923]   [583.498, 535.555]   [649.414, 377.512]   [693.139, 420.663]
         [529.508, 488.101]   [584.387, 535.4]   [650.693, 377.726]   [693.499, 420.828]
         [529.981, 488.643]   [585.037, 536.225]   [649.435, 378.193]   [693.759, 422.513]
         [530.964, 487.115]   [585.503, 536.831]   [648.486, 379.165]   [693.941, 423.432]
         [530.403, 488.849]   [585.83, 538.552]   [649.696, 380.511]   [693.425, 426.333]
         [530.633, 491.724]   [585.735, 541.102]   [649.286, 382.782]   [694.008, 427.483]
         [531.45, 493.811]   [585.652, 542.959]   [651.908, 384.432]   [695.08, 427.325]
         [532.042, 495.3]   [587.545, 544.945]   [651.842, 385.938]   [695.854, 427.836]
         [532.464, 496.341]   [590.556, 545.699]   [651.113, 387.331]   [694.755, 433.125]
         [533.094, 496.728]   [589.745, 547.209]   [650.568, 388.314]   [695.268, 434.625]
         [533.538, 496.962]   [589.456, 547.598]   [651.488, 388.652]   [695.962, 435.328]
         [533.514, 497.091]   [589.888, 547.174]   [654.473, 388.526]   [697.119, 435.12]
         [534.487, 497.15]   [589.847, 547.168]   [655.286, 389.071]   [696.944, 436.597]
         [535.509, 498.155]   [590.797, 547.127]   [655.843, 389.427]   [698.47, 434.938]
         [536.23, 498.511]   [591.796, 547.068]   [654.544, 389.651]   [697.213, 438.715]
         [536.063, 499.073]   [592.497, 547.001]   [655.594, 389.784]   [696.288, 441.408]
         [536.928, 498.436]   [593.647, 546.256]   [655.66, 389.179]   [697.621, 439.944]
         [537.866, 498.278]   [594.783, 545.361]   [656.69, 388.714]   [695.888, 443.526]
         [539.866, 496.796]   [595.908, 545.708]   [659.091, 389.03]   [698.993, 440.354]
         [541.952, 497.719]   [596.349, 546.954]   [661.465, 389.237]   [701.895, 437.339]
         [544.516, 497.719]   [598.044, 547.874]   [662.879, 389.735]   [704.716, 437.172]
         [545.929, 497.338]   [596.798, 550.538]   [665.842, 390.392]   [707.352, 434.279]
         [550.636, 495.005]   [597.226, 552.429]   [665.199, 390.843]   [709.199, 434.227]
         [551.617, 496.728]   [598.543, 552.751]   [665.383, 391.158]   [711.188, 433.845]
         [553.22, 497.274]   [600.112, 553.257]   [667.817, 391.686]   [711.49, 436.973]
         [557.725, 492.551]   [605.64, 552.232]   [671.573, 392.391]   [713.364, 434.791]
         [560.532, 494.255]   [606.835, 552.476]   [671.143, 392.871]   [715.321, 434.57]
         [563.793, 490.741]   [607.956, 552.28]   [672.453, 393.187]   [716.648, 433.729]
         [566.059, 488.899]   [609.047, 552.795]   [675.379, 393.733]   [717.208, 437.19]
         [564.194, 495.389]   [608.75, 554.158]   [676.062, 394.44]   [717.542, 438.321]
         [562.754, 500.08]   [608.476, 554.436]   [675.13, 394.926]   [717.72, 440.475]
         [561.632, 499.376]   [610.254, 553.252]   [676.086, 395.248]   [718.464, 439.291]
         [564.534, 495.098]   [610.496, 553.401]   [673.34, 396.152]   [718.976, 439.099]
         [562.763, 496.083]   [610.234, 552.795]   [676.042, 394.033]   [719.248, 438.587]
         [561.424, 497.465]   [611.01, 549.969]   [679.288, 391.812]   [719.386, 436.846]
         [566.524, 489.3]   [614.584, 547.25]   [682.6, 389.867]   [718.769, 439.315]
         [566.074, 490.205]   [615.747, 546.994]   [683.559, 388.129]   [720.312, 436.338]
         [568.044, 487.168]   [617.525, 545.814]   [684.163, 386.895]   [722.386, 431.147]
         [567.043, 489.74]   [618.411, 543.966]   [682.846, 385.346]   [723.837, 428.772]
         [566.6, 490.271]   [618.646, 542.997]   [682.508, 384.255]   [724.491, 429.12]
         [569.623, 486.272]   [619.442, 541.982]   [684.928, 383.49]   [725.597, 428.046]
         [572.086, 484.43]   [619.95, 542.299]   [687.291, 382.971]   [727.012, 428.661]
         [573.112, 484.838]   [620.926, 541.548]   [690.273, 382.973]   [728.644, 428.801]
         [573.779, 487.533]   [623.251, 542.052]   [691.329, 383.343]   [728.405, 433.313]
         [576.906, 486.465]   [625.216, 541.762]   [691.02, 383.631]   [730.884, 431.183]
         [579.766, 487.4]   [627.241, 540.904]   [695.108, 383.862]   [731.939, 433.359]
         [583.21, 486.044]   [629.053, 541.302]   [696.043, 384.034]   [735.087, 432.567]
         [585.147, 486.469]   [631.204, 540.625]   [696.198, 384.194]   [737.195, 432.002]
         [583.422, 489.492]   [630.319, 541.508]   [695.234, 384.321]   [738.984, 428.56]
         [582.448, 491.678]   [630.635, 542.161]   [696.175, 384.422]   [738.522, 429.468]
         [585.047, 487.173]   [631.807, 541.297]   [697.127, 384.506]   [740.136, 429.131]
         [585.843, 486.289]   [631.578, 541.699]   [698.093, 384.576]   [741.908, 427.891]
         [585.674, 488.705]   [632.706, 542.341]   [701.436, 384.296]   [743.117, 427.351]
         [584.133, 491.134]   [634.474, 543.489]   [701.078, 384.44]   [743.913, 423.605]
         [583.971, 490.18]   [633.654, 544.322]   [701.419, 384.553]   [744.404, 424.654]
         [584.144, 490.498]   [636.042, 542.224]   [700.256, 384.64]   [744.351, 426.118]
         [582.881, 493.757]   [635.689, 542.735]   [698.693, 384.707]   [744.253, 427.197]
         [583.949, 491.377]   [637.727, 540.418]   [700.549, 384.761]   [744.453, 426.31]
         [585.035, 490.32]   [638.15, 538.749]   [700.514, 384.465]   [744.222, 426.691]
         [584.089, 492.249]   [643.773, 535.213]   [702.459, 383.92]   [744.33, 425.636]
         [585.058, 490.266]   [641.364, 536.06]   [700.453, 383.533]   [743.692, 424.555]
         [588.091, 483.101]   [640.912, 534.343]   [696.613, 383.934]   [741.512, 427.834]
         [588.227, 481.308]   [639.522, 533.806]   [696.18, 382.204]   [740.584, 428.867]
         [585.571, 482.427]   [639.471, 531.443]   [696.194, 379.621]   [739.216, 428.937]
         [583.965, 482.592]   [638.388, 529.774]   [695.187, 377.776]   [740.242, 425.95]
         [582.787, 478.702]   [637.908, 525.929]   [695.469, 373.783]   [741.308, 418.751]
         [580.241, 471.537]   [634.841, 521.511]   [695.671, 367.896]   [740.042, 411.888]
         [575.698, 465.406]   [631.258, 513.323]   [693.788, 359.312]   [737.426, 403.612]
         [570.419, 455.017]   [626.654, 502.812]   [690.409, 347.159]   [731.488, 396.408]
         [565.955, 443.534]   [622.325, 491.927]   [687.637, 335.426]   [728.561, 383.848]
         [564.172, 435.827]   [620.617, 484.327]   [682.978, 327.561]   [725.831, 378.063]
         [567.004, 431.811]   [625.174, 482.083]   [685.064, 324.122]   [729.312, 373.402]
         [573.158, 431.477]   [628.839, 486.068]   [691.677, 325.231]   [733.891, 377.322]
         [581.352, 436.162]   [636.234, 490.143]   [699.853, 329.276]   [742.623, 378.305]
         [590.614, 441.775]   [643.564, 495.966]   [708.749, 335.11]   [751.923, 381.235]
         [597.914, 447.627]   [649.136, 503.301]   [717.46, 340.454]   [760.25, 385.494]
         [602.787, 453.959]   [653.78, 509.337]   [720.979, 344.397]   [766.53, 387.645]
         [605.512, 457.918]   [660.068, 511.034]   [727.778, 346.31]   [771.264, 392.329]
         [607.554, 457.643]   [662.203, 510.882]   [730.292, 345.566]   [773.804, 391.566]
         [609.767, 457.344]   [664.516, 510.717]   [733.015, 344.76]   [776.555, 390.741]
         [611.806, 457.069]   [666.649, 510.564]   [735.525, 344.017]   [779.091, 389.98]
         [614.485, 485.684]   [666.689, 544.495]   [745.21, 363.045]   [790.689, 414.554]
         [621.953, 497.749]   [673.137, 561.259]   [754.228, 374.701]   [801.325, 421.921]
         [624.261, 510.925]   [677.156, 574.005]   [760.474, 381.897]   [810.367, 429.443]
         [627.508, 518.538]   [685.037, 581.706]   [768.343, 386.444]   [818.578, 434.196]
         [633.13, 525.381]   [694.832, 587.911]   [778.117, 390.191]   [828.234, 437.048]
         [635.944, 529.552]   [698.294, 592.676]   [782.677, 392.607]   [833.22, 439.465]
         [638.745, 533.704]   [701.74, 597.419]   [787.216, 395.012]   [838.184, 441.872]
         [641.596, 537.929]   [705.248, 602.246]   [791.835, 397.459]   [843.236, 444.321]
